"specimen","Condition","CD45_count","Tcells_count","lymphocytes_count","CD4_positive","CD8_positive"
"INF0100","PPD",589379,238021,366784,0.430688888795526,0.490855848853673
"INF0186","PPD",596869,190855,401148,0.530910900945744,0.391218464279165
"INF0186","PPD",991089,365177,627601,0.503380552444431,0.42133814561158
"INF0179","SEB",630736,248274,477989,0.56142407179165,0.377611026527143
"INF0186","SEB",358399,114547,243342,0.504692397007342,0.445432879080203
"INF0186","SEB",866212,300825,523938,0.483639990027425,0.460942408376963
"INF0134","PPD",668644,141471,288367,0.444189975330633,0.440365870036969
"INF0148","PPD",759497,363374,497273,0.556118489490167,0.358245223929065
"INF0191","PPD",712427,53044,416511,0.450814418218837,0.378968403589473
"INF0191","PPD",1551941,348982,1008178,0.53798476712266,0.276607389492868
"INF0191","SEB",724947,65249,423955,0.46397645940934,0.365047740195252
"INF0191","SEB",1184775,311704,823331,0.549190899058081,0.271844442163078
"INF0124","PPD",948655,257077,604318,0.516109959272903,0.416626147029878
"INF0124","SEB",985662,255776,627446,0.48618713249093,0.445170774427624
"INF0149","SEB",795067,92992,425421,0.576006538196834,0.319565123881624
"INF0149","SEB",330943,119060,215587,0.571140601377457,0.34592642365194
"INF0180","PPD",415352,155999,262463,0.518778966531837,0.378848582362707
"INF0180","PPD",648628,174611,401702,0.298383263368287,0.591028056651643
"INF0155","PPD",839902,273995,547508,0.496768189200533,0.406102301136882
"INF0158","PPD",853125,92726,450635,0.564210685244699,0.377326747622026
"INF0158","PPD",954296,257109,566004,0.506730608418997,0.43024553788471
"INF0159","PPD",998207,277402,632369,0.479992934441713,0.403468612338772
"INF0158","SEB",1275881,276075,788314,0.587833016390474,0.357326813365933
"INF0158","SEB",699492,77862,387150,0.538285684929747,0.406193008142611
"INF0158","SEB",788745,203043,465454,0.498879547682018,0.442625453721625
"INF0159","SEB",980926,277396,621671,0.473806399515494,0.416260508442804
"INF0013","PPD",615551,189329,324923,0.563225918903073,0.36157693750033
"INF0023","PPD",614541,296169,503576,0.586502976341211,0.324355351167745
"INF0030","PPD",592064,269391,485271,0.598208551881837,0.307887048936304
"INF0030","PPD",970490,625597,862245,0.543279459460324,0.376963124823169
"INF0013","SEB",653038,205771,339517,0.529000685227753,0.401436548396032
"INF0023","SEB",585400,261350,480662,0.561159364836426,0.359801033097379
"INF0030","SEB",490896,229988,419154,0.59258309129172,0.320364540758648
"INF0030","SEB",926978,583119,812850,0.543307626745141,0.388106029815526
"INF0199","PPD",960247,155310,697308,0.554053183954671,0.370826089755972
"INF0199","PPD",592802,194829,355207,0.267480713856767,0.548701681987794
"INF0199","PPD",603141,330254,466636,0.311602584677248,0.558709357040339
"INF0207","PPD",640947,172564,465599,0.403937090007186,0.502746806981757
"INF0199","SEB",1024741,136480,726424,0.533514067995311,0.377667057444314
"INF0199","SEB",621032,200002,374720,0.242657573424266,0.579969200307997
"INF0199","SEB",240956,132098,191787,0.31760511135672,0.553104513315872
"INF0207","SEB",801074,36036,312543,0.417637917637918,0.39005439005439
"INF0207","SEB",523880,156863,435133,0.409236084991362,0.498772814494176
"INF0614","PPD",1360009,195461,1056211,0.527435140513964,0.392548897222464
"INF0614","PPD",688585,194236,468273,0.343659259869437,0.52646265367903
"INF0614","PPD",760542,113124,362955,0.25828294614759,0.58343057176196
"INF0614","SEB",1569343,188308,1124974,0.510089852794358,0.398103107674661
