"specimen","Condition","Tcells_count","lymphocytes_count","CD45_count","CD4_positive","CD8_positive"
"INF0052","Ctrl",164771,587573,915203,0.63,0.27
"INF0100","Ctrl",208241,308583,1438047,0.61,0.34
"INF0100","Ctrl",371723,607477,820570,0.66,0.29
"INF0100","Ctrl",111552,176662,271304,0.44,0.49
"INF0179","Ctrl",291777,663667,940733,0.74,0.2
"INF0179","Ctrl",271870,510730,675857,0.59,0.36
"INF0179","Ctrl",487937,726238,921660,0.7,0.26
"INF0186","Ctrl",220634,451047,701657,0.57,0.36
"INF0186","Ctrl",415867,710964,1066884,0.51,0.41
"INF0052","PPD",184930,652155,1017713,0.63,0.27
"INF0100","PPD",211987,314717,1447451,0.61,0.33
"INF0100","PPD",326378,544883,745037,0.66,0.29
"INF0100","PPD",238021,366784,589379,0.43,0.49
"INF0179","PPD",294549,663169,947858,0.75,0.19
"INF0179","PPD",331680,586561,803170,0.63,0.32
"INF0179","PPD",577228,863168,1088038,0.7,0.26
"INF0186","PPD",190855,401148,596869,0.53,0.39
"INF0186","PPD",365177,627601,991089,0.5,0.42
"INF0052","SEB",201287,734179,1092762,0.61,0.28
"INF0100","SEB",191734,294631,1355873,0.61,0.34
"INF0100","SEB",306146,514635,710627,0.64,0.31
"INF0179","SEB",209429,435967,559571,0.73,0.19
"INF0179","SEB",248274,477989,630736,0.56,0.38
"INF0179","SEB",393236,603182,736721,0.7,0.26
"INF0186","SEB",114547,243342,358399,0.5,0.45
"INF0186","SEB",300825,523938,866212,0.48,0.46
"INF0134","Ctrl",127866,398139,689676,0.7,0.23
"INF0134","Ctrl",351750,688123,887463,0.64,0.28
"INF0134","Ctrl",72759,135812,317496,0.46,0.42
"INF0148","Ctrl",234335,656943,1013985,0.67,0.27
"INF0148","Ctrl",272412,374089,612630,0.55,0.36
"INF0191","Ctrl",55780,413883,715443,0.46,0.38
"INF0191","Ctrl",227949,338913,427368,0.67,0.22
"INF0191","Ctrl",287885,693271,999587,0.57,0.26
"INF0134","PPD",139312,420303,709388,0.7,0.23
"INF0134","PPD",365074,711190,931169,0.63,0.28
"INF0134","PPD",141471,288367,668644,0.44,0.44
"INF0148","PPD",220142,609927,925793,0.66,0.27
"INF0148","PPD",149173,233126,454573,0.62,0.31
"INF0148","PPD",363374,497273,759497,0.56,0.36
"INF0191","PPD",53044,416511,712427,0.45,0.38
"INF0191","PPD",342753,563385,708666,0.63,0.24
"INF0191","PPD",348982,1008178,1551941,0.54,0.28
"INF0134","SEB",133436,385613,680674,0.63,0.26
"INF0134","SEB",336815,671899,907293,0.6,0.3
"INF0148","SEB",258231,674787,1029390,0.66,0.26
"INF0191","SEB",65249,423955,724947,0.46,0.37
"INF0191","SEB",311704,823331,1184775,0.55,0.27
"INF0124","Ctrl",70297,426584,687720,0.67,0.26
"INF0124","Ctrl",230924,482090,689596,0.51,0.42
"INF0124","Ctrl",208211,389289,522851,0.66,0.29
