"CD45","lymphocytes","Tcells","CD8+","CD4+","Monocytes","TcellsOfCD45","TcellsRounded"
0.6,0.64,0.28,0.27,0.63,0.12,0.466666666666667,0.47
0.91,0.21,0.67,0.34,0.61,0.09,0.736263736263736,0.74
0.97,0.74,0.61,0.29,0.66,0.02,0.628865979381443,0.63
0.98,0.65,0.63,0.49,0.44,0.01,0.642857142857143,0.64
0.96,0.71,0.44,0.2,0.74,0.04,0.458333333333333,0.46
0.99,0.76,0.53,0.36,0.59,0.04,0.535353535353535,0.54
0.98,0.79,0.67,0.26,0.7,0.02,0.683673469387755,0.68
0.98,0.64,0.49,0.36,0.57,0.05,0.5,0.5
0.97,0.67,0.58,0.41,0.51,0.04,0.597938144329897,0.6
0.59,0.64,0.28,0.27,0.63,0.14,0.474576271186441,0.47
0.91,0.22,0.67,0.33,0.61,0.07,0.736263736263736,0.74
0.97,0.73,0.6,0.29,0.66,0.02,0.618556701030928,0.62
0.98,0.62,0.65,0.49,0.43,0.02,0.663265306122449,0.66
0.95,0.7,0.44,0.19,0.75,0.04,0.463157894736842,0.46
0.99,0.73,0.57,0.32,0.63,0.05,0.575757575757576,0.58
0.98,0.79,0.67,0.26,0.7,0.02,0.683673469387755,0.68
0.98,0.67,0.48,0.39,0.53,0.05,0.489795918367347,0.49
0.98,0.63,0.58,0.42,0.5,0.04,0.591836734693878,0.59
0.58,0.67,0.27,0.28,0.61,0.11,0.46551724137931,0.47
0.91,0.22,0.65,0.34,0.61,0.1,0.714285714285714,0.71
0.97,0.72,0.59,0.31,0.64,0.02,0.608247422680412,0.61
0.97,0.78,0.48,0.19,0.73,0.03,0.494845360824742,0.49
0.98,0.76,0.52,0.38,0.56,0.05,0.530612244897959,0.53
0.98,0.82,0.65,0.26,0.7,0.02,0.663265306122449,0.66
0.98,0.68,0.47,0.45,0.5,0.02,0.479591836734694,0.48
0.97,0.6,0.57,0.46,0.48,0.04,0.587628865979381,0.59
0.79,0.58,0.32,0.23,0.7,0.2,0.40506329113924,0.41
0.98,0.78,0.51,0.28,0.64,0.02,0.520408163265306,0.52
0.96,0.43,0.54,0.42,0.46,0.03,0.5625,0.56
0.67,0.65,0.36,0.27,0.67,0.08,0.537313432835821,0.54
0.98,0.61,0.73,0.36,0.55,0.02,0.744897959183674,0.74
0.48,0.58,0.13,0.38,0.46,0.13,0.270833333333333,0.27
0.97,0.79,0.67,0.22,0.67,0.02,0.690721649484536,0.69
0.95,0.69,0.42,0.26,0.57,0.03,0.442105263157895,0.44
0.79,0.59,0.33,0.23,0.7,0.2,0.417721518987342,0.42
0.98,0.76,0.51,0.28,0.63,0.02,0.520408163265306,0.52
0.96,0.43,0.49,0.44,0.44,0.03,0.510416666666667,0.51
0.67,0.66,0.36,0.27,0.66,0.09,0.537313432835821,0.54
0.97,0.51,0.64,0.31,0.62,0.01,0.65979381443299,0.66
0.98,0.65,0.73,0.36,0.56,0.02,0.744897959183674,0.74
0.49,0.58,0.13,0.38,0.45,0.12,0.26530612244898,0.27
0.98,0.79,0.61,0.24,0.63,0.03,0.622448979591837,0.62
0.94,0.65,0.35,0.28,0.54,0.07,0.372340425531915,0.37
0.78,0.57,0.35,0.26,0.63,0.19,0.448717948717949,0.45
0.98,0.74,0.5,0.3,0.6,0.02,0.510204081632653,0.51
0.68,0.66,0.38,0.26,0.66,0.1,0.558823529411765,0.56
0.5,0.58,0.15,0.37,0.46,0.13,0.3,0.3
0.96,0.69,0.38,0.27,0.55,0.05,0.395833333333333,0.4
0.77,0.62,0.16,0.26,0.67,0.14,0.207792207792208,0.21
0.9,0.7,0.48,0.42,0.51,0.05,0.533333333333333,0.53
0.75,0.74,0.53,0.29,0.66,0.05,0.706666666666667,0.71
0.9,0.54,0.23,0.3,0.62,0.11,0.255555555555556,0.26
0.95,0.67,0.55,0.26,0.67,0.02,0.578947368421053,0.58
0.94,0.66,0.63,0.3,0.61,0.03,0.670212765957447,0.67
0.88,0.35,0.25,0.14,0.75,0.16,0.284090909090909,0.28
0.92,0.37,0.38,0.09,0.81,0.05,0.41304347826087,0.41
0.95,0.57,0.46,0.08,0.83,0.02,0.48421052631579,0.48
0.78,0.64,0.15,0.27,0.67,0.14,0.192307692307692,0.19
0.89,0.64,0.43,0.42,0.52,0.09,0.48314606741573,0.48
0.86,0.61,0.53,0.3,0.65,0.03,0.616279069767442,0.62
0.89,0.59,0.21,0.3,0.62,0.11,0.235955056179775,0.24
0.95,0.69,0.56,0.27,0.67,0.02,0.589473684210526,0.59
0.93,0.66,0.59,0.32,0.6,0.03,0.634408602150538,0.63
0.86,0.38,0.25,0.13,0.74,0.16,0.290697674418605,0.29
0.93,0.38,0.34,0.09,0.81,0.07,0.365591397849462,0.37
0.94,0.52,0.42,0.08,0.83,0.04,0.446808510638298,0.45
0.82,0.65,0.18,0.26,0.66,0.14,0.219512195121951,0.22
0.88,0.64,0.41,0.45,0.49,0.1,0.465909090909091,0.47
0.9,0.66,0.51,0.29,0.66,0.03,0.566666666666667,0.57
0.9,0.54,0.22,0.32,0.58,0.12,0.244444444444444,0.24
0.95,0.71,0.52,0.28,0.66,0.02,0.547368421052632,0.55
0.92,0.65,0.55,0.35,0.57,0.03,0.597826086956522,0.6
0.88,0.36,0.27,0.14,0.72,0.16,0.306818181818182,0.31
0.92,0.38,0.33,0.1,0.8,0.07,0.358695652173913,0.36
0.94,0.52,0.41,0.08,0.83,0.04,0.436170212765957,0.44
0.93,0.69,0.35,0.22,0.73,0.13,0.376344086021505,0.38
0.91,0.7,0.45,0.29,0.65,0.04,0.494505494505495,0.49
0.93,0.79,0.7,0.26,0.7,0.04,0.752688172043011,0.75
0.97,0.81,0.59,0.24,0.71,0.06,0.608247422680412,0.61
0.97,0.81,0.43,0.22,0.68,0.06,0.443298969072165,0.44
0.98,0.78,0.66,0.22,0.71,0.03,0.673469387755102,0.67
0.94,0.7,0.39,0.3,0.66,0.13,0.414893617021277,0.41
0.99,0.64,0.57,0.37,0.52,0.08,0.575757575757576,0.58
0.93,0.72,0.36,0.22,0.74,0.09,0.387096774193548,0.39
0.93,0.72,0.45,0.29,0.66,0.04,0.483870967741935,0.48
0.94,0.81,0.72,0.26,0.7,0.03,0.765957446808511,0.77
0.98,0.7,0.67,0.23,0.72,0.08,0.683673469387755,0.68
0.96,0.81,0.45,0.22,0.68,0.06,0.46875,0.47
0.99,0.78,0.65,0.22,0.71,0.03,0.656565656565657,0.66
0.94,0.71,0.41,0.3,0.66,0.1,0.436170212765957,0.44
0.99,0.63,0.59,0.38,0.52,0.06,0.595959595959596,0.6
0.58,0.62,0.43,0.59,0.3,0.14,0.741379310344828,0.74
0.93,0.7,0.36,0.23,0.7,0.13,0.387096774193548,0.39
0.92,0.72,0.48,0.32,0.63,0.04,0.521739130434783,0.52
0.93,0.81,0.71,0.27,0.69,0.03,0.763440860215054,0.76
0.98,0.84,0.58,0.25,0.69,0.04,0.591836734693878,0.59
0.99,0.79,0.66,0.22,0.71,0.03,0.666666666666667,0.67
0.95,0.7,0.4,0.31,0.61,0.12,0.421052631578947,0.42
0.73,0.71,0.38,0.23,0.7,0.14,0.520547945205479,0.52
0.98,0.85,0.6,0.22,0.72,0.01,0.612244897959184,0.61
0.98,0.62,0.5,0.4,0.5,0.04,0.510204081632653,0.51
0.92,0.61,0.37,0.36,0.59,0.2,0.402173913043478,0.4
0.95,0.57,0.2,0.37,0.57,0.03,0.210526315789474,0.21
0.96,0.57,0.43,0.43,0.51,0.04,0.447916666666667,0.45
0.93,0.65,0.58,0.22,0.72,0.18,0.623655913978495,0.62
0.94,0.65,0.43,0.39,0.49,0.02,0.457446808510638,0.46
0.98,0.81,0.86,0.33,0.63,0.01,0.877551020408163,0.88
0.78,0.76,0.43,0.23,0.69,0.1,0.551282051282051,0.55
0.99,0.86,0.59,0.23,0.72,0.01,0.595959595959596,0.6
0.98,0.65,0.5,0.41,0.5,0.04,0.510204081632653,0.51
0.92,0.66,0.38,0.35,0.6,0.15,0.41304347826087,0.41
0.94,0.53,0.21,0.38,0.56,0.03,0.223404255319149,0.22
0.95,0.59,0.45,0.43,0.51,0.03,0.473684210526316,0.47
0.93,0.66,0.59,0.22,0.72,0.16,0.634408602150538,0.63
0.95,0.63,0.44,0.4,0.48,0.02,0.463157894736842,0.46
0.99,0.83,0.87,0.33,0.63,0.01,0.878787878787879,0.88
0.77,0.73,0.43,0.23,0.68,0.13,0.558441558441558,0.56
0.99,0.85,0.56,0.24,0.7,0.01,0.565656565656566,0.57
0.93,0.62,0.35,0.36,0.59,0.19,0.376344086021505,0.38
0.95,0.55,0.2,0.41,0.54,0.03,0.210526315789474,0.21
0.95,0.59,0.44,0.44,0.5,0.03,0.463157894736842,0.46
0.93,0.64,0.57,0.23,0.71,0.18,0.612903225806452,0.61
0.94,0.63,0.45,0.42,0.47,0.02,0.478723404255319,0.48
0.99,0.81,0.79,0.35,0.61,0.01,0.797979797979798,0.8
0.97,0.75,0.29,0.12,0.85,0.07,0.298969072164948,0.3
0.95,0.6,0.59,0.12,0.53,0.15,0.621052631578947,0.62
0.98,0.74,0.74,0.33,0.63,0.02,0.755102040816326,0.76
0.96,0.7,0.32,0.2,0.74,0.15,0.333333333333333,0.33
0.97,0.83,0.43,0.24,0.71,0.03,0.443298969072165,0.44
0.97,0.82,0.6,0.33,0.58,0.02,0.618556701030928,0.62
0.97,0.55,0.21,0.3,0.65,0.04,0.216494845360825,0.22
0.96,0.82,0.59,0.3,0.61,0.03,0.614583333333333,0.61
1,0.88,0.73,0.39,0.53,0.01,0.73,0.73
0.96,0.76,0.28,0.12,0.85,0.06,0.291666666666667,0.29
0.9,0.53,0.58,0.36,0.56,0.15,0.644444444444444,0.64
0.98,0.75,0.75,0.34,0.62,0.02,0.76530612244898,0.77
0.96,0.72,0.29,0.2,0.73,0.14,0.302083333333333,0.3
0.97,0.82,0.41,0.23,0.71,0.03,0.422680412371134,0.42
0.97,0.82,0.59,0.32,0.59,0.02,0.608247422680412,0.61
0.97,0.56,0.22,0.3,0.65,0.05,0.22680412371134,0.23
0.97,0.82,0.56,0.31,0.6,0.03,0.577319587628866,0.58
1,0.89,0.73,0.38,0.54,0.01,0.73,0.73
0.96,0.73,0.3,0.18,0.77,0.07,0.3125,0.31
0.88,0.52,0.61,0.4,0.53,0.12,0.693181818181818,0.69
0.97,0.78,0.75,0.34,0.63,0.01,0.77319587628866,0.77
0.96,0.7,0.33,0.23,0.66,0.16,0.34375,0.34
0.97,0.81,0.42,0.25,0.7,0.03,0.43298969072165,0.43
0.96,0.82,0.54,0.36,0.56,0.02,0.5625,0.56
0.97,0.54,0.22,0.33,0.61,0.04,0.22680412371134,0.23
0.97,0.85,0.55,0.32,0.59,0.02,0.567010309278351,0.57
1,0.88,0.72,0.39,0.54,0.01,0.72,0.72
0.9,0.62,0.49,0.14,0.84,0.1,0.544444444444444,0.54
0.99,0.8,0.49,0.26,0.67,0.02,0.494949494949495,0.49
0.98,0.8,0.63,0.24,0.7,0.02,0.642857142857143,0.64
0.87,0.72,0.21,0.37,0.55,0.1,0.241379310344828,0.24
0.93,0.57,0.52,0.53,0.29,0.07,0.559139784946237,0.56
0.99,0.74,0.67,0.53,0.34,0.03,0.676767676767677,0.68
0.92,0.39,0.11,0.25,0.65,0.36,0.119565217391304,0.12
0.99,0.82,0.37,0.45,0.45,0.03,0.373737373737374,0.37
0.98,0.78,0.6,0.24,0.7,0.03,0.612244897959184,0.61
0.91,0.66,0.48,0.14,0.84,0.09,0.527472527472527,0.53
0.99,0.79,0.5,0.25,0.68,0.02,0.505050505050505,0.51
0.99,0.81,0.64,0.24,0.7,0.02,0.646464646464647,0.65
0.86,0.73,0.22,0.37,0.55,0.09,0.255813953488372,0.26
0.94,0.6,0.55,0.55,0.27,0.06,0.585106382978724,0.59
0.99,0.77,0.71,0.56,0.31,0.03,0.717171717171717,0.72
0.91,0.44,0.11,0.25,0.65,0.33,0.120879120879121,0.12
0.99,0.73,0.37,0.5,0.4,0.03,0.373737373737374,0.37
0.98,0.92,0.57,0.26,0.68,0.04,0.581632653061224,0.58
0.92,0.62,0.53,0.14,0.82,0.12,0.576086956521739,0.58
0.99,0.8,0.49,0.29,0.64,0.02,0.494949494949495,0.49
0.98,0.81,0.61,0.26,0.68,0.02,0.622448979591837,0.62
0.87,0.71,0.19,0.38,0.53,0.13,0.218390804597701,0.22
0.93,0.6,0.53,0.58,0.24,0.04,0.56989247311828,0.57
0.98,0.8,0.69,0.55,0.32,0.01,0.704081632653061,0.7
0.92,0.39,0.12,0.39,0.42,0.4,0.130434782608696,0.13
0.99,0.83,0.36,0.5,0.41,0.02,0.363636363636364,0.36
0.99,0.9,0.55,0.26,0.68,0.04,0.555555555555556,0.56
0.88,0.72,0.2,0.38,0.54,0.14,0.227272727272727,0.23
0.67,0.64,0.38,0.53,0.34,0.09,0.567164179104478,0.57
0.94,0.51,0.38,0.58,0.27,0.03,0.404255319148936,0.4
0.92,0.35,0.49,0.2,0.67,0.21,0.532608695652174,0.53
0.96,0.76,0.67,0.2,0.72,0,0.697916666666667,0.7
0.84,0.53,0.59,0.23,0.71,0.01,0.702380952380952,0.7
0.9,0.78,0.19,0.39,0.53,0.1,0.211111111111111,0.21
0.79,0.68,0.41,0.53,0.34,0.05,0.518987341772152,0.52
0.94,0.48,0.31,0.58,0.26,0.06,0.329787234042553,0.33
0.92,0.41,0.49,0.2,0.67,0.2,0.532608695652174,0.53
0.97,0.82,0.77,0.2,0.72,0,0.793814432989691,0.79
0.93,0.76,0.66,0.2,0.72,0,0.709677419354839,0.71
0.86,0.55,0.52,0.15,0.8,0.02,0.604651162790698,0.6
0.87,0.56,0.62,0.23,0.71,0.01,0.71264367816092,0.71
0.91,0.72,0.17,0.4,0.51,0.15,0.186813186813187,0.19
0.91,0.37,0.51,0.2,0.66,0.2,0.56043956043956,0.56
0.94,0.78,0.65,0.21,0.72,0,0.691489361702128,0.69
0.87,0.56,0.59,0.26,0.69,0.01,0.67816091954023,0.68
